id,predicted_price
2591820310,372786.13604475727
7974200820,876540.5970567334
7701450110,1110852.7369450661
9522300010,1869652.8162340405
9510861140,744510.2063481631
1761300310,245579.73669063102
7732410120,798988.8558812257
7010701383,639440.247674188
291310170,428993.96006570506
4232901990,562161.2805338458
6840701125,640034.0856355373
3971700580,412272.2031182521
4202400078,247937.7261020254
6064800090,335674.05973904114
2626119028,226907.4669661907
3303980660,1071881.901059418
862000020,817486.7791132332
2386000070,929564.700444827
1138000450,378046.5244477944
1775800420,462875.9294228126
2291401425,423861.14189266873
2025770560,900948.6385226422
3525069037,712252.4096794185
9324800450,565214.3878143305
8080400136,530666.8438638358
8651540040,522523.31572904653
9407001790,245338.37773577138
1773101530,172622.67073748406
9432900250,335064.8590938851
1794500695,603473.5268764945
2220069003,326232.9263472084
923000120,465108.6811182752
5728000060,557638.2926985528
16000200,249186.63342158898
1926059094,449431.6158120399
6672900220,1007569.8973303485
3629860060,807278.731976037
1822069109,420048.63233580854
6675500105,368494.6606816544
249000180,1923419.9898844666
226059065,516979.9302670854
396100110,254594.2664272671
9264450460,325724.6211774973
7853361210,381010.40759803687
9474700020,291553.69915123755
421000455,237724.98050669674
3755200220,421988.533532528
7960100075,460589.46809087123
9477100490,390145.67079648
9138100350,874005.8480905821
1624049275,487380.00048458914
2770606890,513530.5462545906
1157200189,407618.3809828415
2770601800,528175.3267940978
9301300805,557950.746196853
2325069032,1145045.0523525407
1021079099,348206.34467417916
7215730040,754731.1524031331
1853200080,411962.7876096318
3224600340,693229.4965325951
3222049120,432537.26032674225
2113700025,267508.86546890717
7893207925,221514.59047338617
3586501085,594804.18138119
8024200010,392093.4928259117
7116500705,179053.33099483149
1598600209,305244.092918847
7204200025,818572.4772891424
4206901505,571662.2447539964
2937300440,919112.8316880332
7205000180,318051.30467446597
8718500665,367760.4742637117
5318101765,922950.1924462576
4122700020,1032202.4283218316
8078700020,521368.4832895405
3303980680,875912.7689364516
8924100372,1195066.9913581621
2781270210,210733.63027780823
519000043,546862.9758318563
3225069301,1448716.259952161
151000075,776234.1031554946
2297400020,436395.8693366232
6617500085,632920.3675018946
104510180,237936.004402868
3528900060,998924.2069989073
3345100286,503258.1945689748
1226039130,430313.20040908526
8712100720,812872.0204497264
3037200010,404196.4671413076
3626039268,428051.0822263765
104510230,242044.19752292425
5112800060,409598.5717869296
